Аранжмани на Драган Ѓаконовски - Шпато на вокални творби од други автори во фонотеката на Македонска Радио Телевизија МРТВ,

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,автор,изведувач,минути,сигнатура
Те чекам,М. Котлиќ,Љупка Апостолова,,АЗ-55/16
Туѓо,Џ. Латус,Импулси,2.07,З-14421
Зимски здив,Димитар Масевски,ГЗО на РС,,АЗ-60/2
Тој ден ќе дојде,Јане Коџабашија,С. Варешановиќ,2.48,З-2471/1
Твојот прв валс,Григор Копров
Убавата палавка,Јане Коџабашија,А. Сопронов
Убавице моја,Драган Мијалковски,Драган Мијалковски,4.35,З-6822/1
Вардарска,Јане Коџабашија,Зоран Георгиев,2.43,З-2470/1
Вејка скршена,Димитар Масевски
Ветерница во моите мисли,Легран,Имулси,3.25,З-2812/3
Врати се,Ј. Велинов,С. Сариевска,3.52,4029/1
Ветрој ќе ме кинат,Љубомир Бранѓолица,Зоран Георгиев,2.21,З-1365/1
Ветрот и старите ѕидишта,Љубомир Бранѓолица
Везден чекам бистри води,Кочо Петровски,В. Томновска,3.07,З-3814/1
Во една пролет,Димитар Масевски,Нина Спирова
Во ноќта,Кочо Петровски,Виолета Томовска,2.57,З-3815/2
Визија на мојата среќа,Димитар Масевски,Забавен оркестар на РС,,АЗ-48/20
Види ја Адела,М. Гилар,Велко Трпчевски,,АЗ-49/9
Вљуби се во мене,Клуни,Љупка Апостолова,,АЗ-55/20
Врне,Д. Модуњо,Христо Крстевски,,АЗ-51/26
Ватерло,Б.Андерсон,Верица Ристевска
За дружба и мир,Александар Џамбазов
За тебе за мене,Џамбазов,Нина Спирова,,З-230/3
За еден цвет господине,+++,Марија Арсова со ТО на „Македонка“,2.42,З-1947/3
За мене сега си сè,+++,Томислав Маниќ
За тебе и за мене,Александар Џамбазов,Нина Спирова
Запомни ја мојата љубов,Драган Мијалковски,Драган Мијалковски,3.42,З-7747/1
Запри,Димитар Масевски,Сашка Петковска,2.46,З-1721/2
Зошто си во мојата близина,Александар Џамбазов,Христо Крстевски,,АЗ-51/18
Заспаниот град,Димитар Масевски,Блага Видец,,АЗ-50/19
Здодевно е,Ванчо Димитров,Нина Спирова/Петар Каргов
Златна месечина,В. Гомез
Земјо родна,П. Сидовски,Даниела Панчетовиќ
Земјо се враќам,Григор Копров
Знаеш ли што се дни без надеж,Григор Копров,Григор Копров,2.15,З-3012/1
Знам скоро ќе ме намразиш,Јанко Узунов,Јанко Узунов
Зошто,Зафир Хаџиманов,Зафир Хаџиманов,4.26,З-3674/1
Зомби,К. Кугат
Зошто комплименти за љубов,+++,"Н. Кимов, на пијано",,З-7686/2
Животот тече како река,Григор Копров,Сашка Петковска
Жозефина,Л. Митревски,Зорица Милисављевиќ - Попанкова,2.42,З-7700/1
Шармен,Полак,Забавен оркестар,,АЗ-50/22
Штом те видам,Александар Џамбазов,Диме Поповски
Што е љубов,К. Портер,ГЗО на РС,,АЗ-50/16
